generic,disease,min_age_d,max_age_d,min_age_m,max_age_m,min_age_y,max_age_y,min_weight,max_weight,min_dose_dw_mg,max_dose_dw_mg,min_dose_dw_iu,max_dose_dw_iu,limit_mg,limit_iu,min_dose_dd_mg,max_dose_dd_mg,min_dose_dd_iu,max_dose_dd_iu,route
Amikacin,Bacteremia,0.0,999.0,0.0,999.0,12.0,65.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IM
Amikacin,Bacteremia,0.0,999.0,0.0,999.0,12.0,65.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IV
Amikacin,Bacteremia,0.0,999.0,0.0,999.0,65.0,120.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IM
Amikacin,Bacteremia,0.0,999.0,0.0,999.0,65.0,120.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IV
Amikacin,Bacteremia,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IM
Amikacin,Bacteremia,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IV
Amikacin,Bacterial Infection,0.0,999.0,0.0,999.0,12.0,65.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IM
Amikacin,Bacterial Infection,0.0,999.0,0.0,999.0,12.0,65.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IV
Amikacin,Bacterial Infection,1.0,7.0,0.0,999.0,0.0,999.0,2.1,999.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,30.0,0.0,0.0,IM
Amikacin,Bacterial Infection,8.0,29.0,0.0,999.0,0.0,999.0,2.1,999.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,35.0,0.0,0.0,IM
Amikacin,Bacterial Infection,1.0,7.0,0.0,999.0,0.0,999.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,15.0,0.0,0.0,IM
Amikacin,Bacterial Infection,8.0,29.0,0.0,999.0,0.0,999.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,30.0,0.0,0.0,IM
Amikacin,Bacterial Infection,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IM
Amikacin,Bacterial Infection,1.0,7.0,0.0,999.0,0.0,999.0,2.1,999.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,30.0,0.0,0.0,IV
