generic,disease,min_weight,max_weight,min_crcl,max_crcl,max_dose_dd_mg,max_dose_dw_mg,max_dose_dd_iu,max_dose_dw_iu,route,flag
Amikacin,General,0.0,999.0,70.0,89.0,0.0,12.0,0.0,0.0,IV,Normal
Amikacin,General,0.0,999.0,50.0,69.0,0.0,7.5,0.0,0.0,IV,Normal
Amikacin,General,0.0,999.0,30.0,49.0,0.0,4.0,0.0,0.0,IV,Normal
Amikacin,General,0.0,999.0,30.0,39.0,0.0,4.0,0.0,0.0,IV,Normal
Amikacin,General,0.0,999.0,20.0,29.0,0.0,3.75,0.0,0.0,IV,Normal
Amikacin,General,0.0,999.0,10.0,19.0,0.0,2.0,0.0,0.0,IV,Normal
Amikacin,General,0.0,999.0,0.0,9.0,0.0,1.5,0.0,0.0,IV,Normal
Amikacin,General,0.0,999.0,70.0,89.0,0.0,12.0,0.0,0.0,IM,Normal
Amikacin,General,0.0,999.0,50.0,69.0,0.0,7.5,0.0,0.0,IM,Normal
Amikacin,General,0.0,999.0,30.0,49.0,0.0,4.0,0.0,0.0,IM,Normal
Amikacin,General,0.0,999.0,30.0,39.0,0.0,4.0,0.0,0.0,IM,Normal
Amikacin,General,0.0,999.0,20.0,29.0,0.0,3.75,0.0,0.0,IM,Normal
Amikacin,General,0.0,999.0,10.0,19.0,0.0,2.0,0.0,0.0,IM,Normal
Amikacin,General,0.0,999.0,0.0,9.0,0.0,1.5,0.0,0.0,IM,Normal
Amoxicillin,General,0.0,999.0,10.0,30.0,2000.0,0.0,0.0,0.0,PO,Normal
Amoxicillin,General,0.0,999.0,0.0,9.0,1000.0,0.0,0.0,0.0,PO,Normal
Amoxicillin  + Clavulanic Acid,General,0.0,999.0,10.0,30.0,1750.0,0.0,0.0,0.0,PO,Normal
Amoxicillin  + Clavulanic Acid,General,0.0,999.0,0.0,9.0,875.0,0.0,0.0,0.0,PO,Normal
Amphotericin B,General,0.0,999.0,0.0,10.0,0.0,0.7,0.0,0.0,PO,Normal
Ampicillin,General,0.0,999.0,30.0,50.0,8000.0,0.0,0.0,0.0,IM,Normal
Ampicillin,General,0.0,999.0,10.0,29.0,6000.0,0.0,0.0,0.0,IM,Normal
Ampicillin,General,0.0,999.0,0.0,9.0,4000.0,0.0,0.0,0.0,IM,Normal
Ampicillin,General,0.0,999.0,30.0,50.0,8000.0,0.0,0.0,0.0,IV,Normal
Ampicillin,General,0.0,999.0,10.0,29.0,6000.0,0.0,0.0,0.0,IV,Normal
Ampicillin,General,0.0,999.0,0.0,9.0,4000.0,0.0,0.0,0.0,IV,Normal
Ampicillin,General,0.0,999.0,30.0,49.0,2000.0,0.0,0.0,0.0,PO,Normal
Ampicillin,General,0.0,999.0,10.0,29.0,1500.0,0.0,0.0,0.0,PO,Normal
Ampicillin,General,0.0,999.0,0.0,9.0,1000.0,0.0,0.0,0.0,PO,Normal
Artemether,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
