generic,min_age_d,max_age_d,min_age_m,max_age_m,min_age_y,max_age_y,min_weight,max_weight,min_dose_dw_mg,max_dose_dw_mg,min_dose_dw_iu,max_dose_dw_iu,limit_mg,limit_iu,min_dose_dd_mg,max_dose_dd_mg,min_dose_dd_iu,max_dose_dd_iu,route,route_label,route_PO,route_IM,route_IV,generic_label,min_dose_dw_mg_minmax,max_dose_dw_mg_minmax,min_dose_dd_mg_minmax,max_dose_dd_mg_minmax,min_dose_dw_iu_minmax,max_dose_dw_iu_minmax,min_dose_dd_iu_minmax,max_dose_dd_iu_minmax,limit_mg_minmax,limit_iu_minmax,min_age_d_zscore,max_age_d_zscore,min_age_m_zscore,max_age_m_zscore,min_age_y_zscore,max_age_y_zscore,min_weight_zscore,max_weight_zscore
Amikacin,0.0,999.0,0.0,999.0,12.0,65.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IM,1,0,1,0,0,0.02962962962962963,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,-0.18739517986298282,0.37730190965789384,-0.4544423439607368,0.08347851022041938,0.9360943378383746,-0.39774250010941664,-0.21161086047820044,0.22560337934673835
Amikacin,0.0,999.0,0.0,999.0,12.0,65.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IV,2,0,0,1,0,0.02962962962962963,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,-0.18739517986298282,0.37730190965789384,-0.4544423439607368,0.08347851022041938,0.9360943378383746,-0.39774250010941664,-0.21161086047820044,0.22560337934673835
Amikacin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IM,1,0,1,0,0,0.02962962962962963,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,-0.18739517986298282,0.37730190965789384,0.26467521131779176,0.08347851022041938,-0.9546958617930822,-0.5668983566424961,-0.21161086047820044,0.22560337934673835
Amikacin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IM,1,0,1,0,0,0.02962962962962963,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.05140929713055281,-2.6373148813851555,-0.4544423439607368,0.08347851022041938,-0.9546958617930822,2.5280273147405126,-0.21161086047820044,0.22560337934673835
Amikacin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IV,2,0,0,1,0,0.02962962962962963,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,-0.18739517986298282,0.37730190965789384,0.26467521131779176,0.08347851022041938,-0.9546958617930822,-0.5668983566424961,-0.21161086047820044,0.22560337934673835
Amikacin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IV,2,0,0,1,0,0.02962962962962963,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.05140929713055281,-2.6373148813851555,-0.4544423439607368,0.08347851022041938,-0.9546958617930822,2.5280273147405126,-0.21161086047820044,0.22560337934673835
Amoxicillin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,2000.0,0.0,0.0,PO,0,1,0,0,1,0.0,0.0,0.037037037037037035,0.11851851851851852,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,-0.4544423439607368,0.08347851022041938,0.9360943378383746,-0.22545412771461357,-0.21161086047820044,0.22560337934673835
Amoxicillin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,30.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO,0,1,0,0,1,0.08888888888888889,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,0.26467521131779176,0.08347851022041938,-0.9546958617930822,-0.5668983566424961,-0.21161086047820044,0.22560337934673835
Amoxicillin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,20.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO,0,1,0,0,1,0.05925925925925926,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05140929713055281,-2.6373148813851555,-0.4544423439607368,0.08347851022041938,-0.9546958617930822,2.5280273147405126,-0.21161086047820044,0.22560337934673835
Amoxicillin  + Clavulanic Acid,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1750.0,0.0,0.0,PO,0,1,0,0,2,0.0,0.0,0.037037037037037035,0.1037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,-0.18739517986298282,0.37730190965789384,-0.4544423439607368,0.08347851022041938,0.9360943378383746,-0.22545412771461357,-0.21161086047820044,0.22560337934673835
Amoxicillin  + Clavulanic Acid,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,15.0,45.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,PO,0,1,0,0,2,0.044444444444444446,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,-0.18739517986298282,0.37730190965789384,0.26467521131779176,0.08347851022041938,-0.9546958617930822,-0.5668983566424961,-0.21161086047820044,0.22560337934673835
